DateTime UTC	Level (app.) (cm)	Level (instr.) (cm)	Temp (degC)	Batt (V)	Light (lx)	ISO Turbidity (FNU)	EPA Turbidity (NTU)	Fluoresc 90deg (NFU)	Fluoresc 180deg (BFU)	NIR light (bits)	Tilt (deg)	Vibration (mG)	User (-)	
2025-01-18 14:09:00.00	31.338	31.357	6.55	4.209	6800	0.0	65535	646	164	65520	8.8	91.4	0
2025-01-18 14:09:10.00	31.512	31.552	6.45	4.208	4773	0.0	65535	680	192	65520	9.3	72.2	0
2025-01-18 14:09:20.00	31.264	31.262	6.34	4.214	3150	81.0	65535	692	198	62937	8.2	84.3	0
2025-01-18 14:09:30.00	31.358	31.383	6.29	4.212	5589	0.0	65535	667	188	65520	9.2	72.7	0
2025-01-18 14:09:40.00	26.176	30.700	6.89	4.163	7326	0.0	65535	0	0	65520	8.5	86.0	0
2025-01-18 14:09:50.00	26.176	30.832	7.45	4.164	7343	0.0	65535	0	0	65520	7.8	90.3	0
2025-01-18 14:10:00.00	26.176	30.805	7.85	4.160	7355	0.0	65535	0	0	65520	9.1	75.9	0
2025-01-18 14:10:10.00	31.000	30.993	8.13	4.160	7364	0.0	65535	0	0	65520	6.1	89.2	0
2025-01-18 14:10:20.00	31.134	31.099	8.39	4.158	7371	0.0	65535	0	0	65520	8.2	96.8	0
2025-01-18 14:10:30.00	30.703	30.746	8.40	4.155	7372	0.0	65535	0	0	65520	9.9	119.1	0
2025-01-18 14:10:40.00	26.176	31.026	8.77	4.153	7383	0.0	65535	0	0	65520	9.1	81.6	0
2025-01-18 14:10:50.00	26.176	30.704	9.06	4.154	7391	0.0	65535	0	0	65520	7.6	84.1	0
2025-01-18 14:11:00.00	26.176	30.410	9.21	4.158	7396	0.0	65535	0	0	65520	9.0	76.4	0
2025-01-18 14:11:10.00	26.176	30.799	9.36	4.150	7400	0.0	65535	0	0	65520	7.6	79.7	0
2025-01-18 14:11:20.00	3.176	5.847	9.49	4.153	7404	0.0	65535	0	0	65520	9.4	75.3	0
2025-01-18 14:11:30.00	31.825	25.000	9.60	4.150	7407	0.0	65535	0	0	65520	7.9	89.4	0
2025-01-18 14:11:40.00	31.857	25.000	9.73	4.155	7411	0.0	65535	0	0	65520	6.4	86.5	0
2025-01-18 14:11:50.00	31.964	25.000	9.85	4.152	7415	0.0	65535	0	0	65520	9.1	80.4	0
2025-01-18 14:12:00.00	31.952	25.000	9.91	4.154	7417	0.0	65535	0	0	65520	8.6	81.1	0
2025-01-18 14:12:10.00	31.874	25.000	9.94	4.153	7418	0.0	65535	0	0	65520	7.7	86.6	0
2025-01-18 14:12:20.00	31.836	25.000	9.93	4.151	7417	0.0	65535	0	0	65520	7.8	87.1	0
2025-01-18 14:12:30.00	7.316	7.324	9.92	4.149	7417	0.0	65535	0	0	65520	10.0	71.4	0
2025-01-18 14:12:40.00	31.357	31.455	9.58	4.150	7407	0.0	65535	0	0	65520	7.2	88.4	0
2025-01-18 14:12:50.00	31.359	31.439	9.56	4.155	7406	0.0	65535	0	0	65520	9.9	73.8	0
2025-01-18 14:13:00.00	31.362	31.446	9.55	4.154	7406	0.0	65535	0	0	65520	9.8	80.3	0
2025-01-18 14:13:10.00	31.356	31.466	9.13	4.153	7394	0.0	65535	0	0	65520	8.1	81.4	0
2025-01-18 14:13:20.00	24.176	26.557	9.13	4.152	7394	0.0	65535	0	0	65520	7.6	88.5	0
2025-01-18 14:13:30.00	8.176	12.090	9.19	4.147	7395	0.0	65535	0	0	65520	8.4	79.4	0
2025-01-18 14:13:40.00	8.176	12.018	9.17	4.146	7395	0.0	65535	0	0	65520	8.5	84.5	0
2025-01-18 14:13:50.00	8.176	11.876	9.13	4.157	7394	0.0	65535	0	0	65520	9.2	82.2	0
2025-01-18 14:14:00.00	31.364	31.427	9.03	4.152	7391	0.0	65535	0	0	65520	8.3	80.9	0
2025-01-18 14:14:10.00	8.176	12.084	8.91	4.142	7387	0.0	65535	0	0	65520	9.1	79.1	0
2025-01-18 14:14:20.00	24.176	28.300	8.92	4.148	7387	0.0	65535	0	0	65520	9.4	78.3	0
2025-01-18 14:14:30.00	31.444	31.466	8.70	4.146	7381	0.0	65535	0	0	65520	8.4	84.6	0
2025-01-18 14:14:40.00	3.176	5.888	8.47	4.153	5826	0.0	65535	681	193	65520	8.8	90.2	0
2025-01-18 14:14:50.00	31.533	31.563	8.41	4.147	6054	0.0	65535	677	189	65520	9.5	74.2	0
2025-01-18 14:15:00.00	31.519	31.549	8.12	4.152	6665	0.0	65535	660	178	65520	7.7	85.4	0
2025-01-18 14:15:10.00	0.000	32.294	8.34	4.147	7370	0.0	65535	0	0	65520	9.3	82.7	0
2025-01-18 14:15:20.00	0.000	32.240	8.67	4.146	7380	0.0	65535	0	0	65520	8.6	86.7	0
2025-01-18 14:15:30.00	0.000	32.248	8.84	4.141	7385	0.0	65535	0	0	65520	8.9	88.9	0
2025-01-18 14:15:40.00	0.000	32.098	8.99	4.145	7389	0.0	65535	0	0	65520	8.4	83.4	0
2025-01-18 14:15:50.00	0.000	31.566	9.10	4.150	7393	0.0	65535	0	0	65520	8.9	81.1	0
2025-01-18 14:16:00.00	0.000	31.524	9.20	4.149	7396	0.0	65535	0	0	65520	9.8	78.1	0
2025-01-18 14:16:10.00	0.000	31.522	9.33	4.146	7399	0.0	65535	0	0	65520	8.3	82.8	0
2025-01-18 14:16:20.00	0.000	31.520	9.47	4.153	7404	0.0	65535	0	0	65520	8.6	83.1	0
2025-01-18 14:16:30.00	0.000	31.518	9.62	4.146	7408	0.0	65535	0	0	65520	7.7	88.0	0
2025-01-18 14:16:40.00	0.000	31.513	9.84	4.145	7414	0.0	65535	0	0	65520	8.6	80.8	0
2025-01-18 14:16:50.00	0.000	31.499	9.97	4.153	7418	0.0	65535	0	0	65520	7.3	90.5	0
2025-01-18 14:17:00.00	0.000	31.474	10.09	4.144	7422	0.0	65535	0	0	65520	8.1	91.7	0
2025-01-18 14:17:10.00	0.000	31.422	10.20	4.141	7425	0.0	65535	0	0	65520	9.7	75.3	0
2025-01-18 14:17:20.00	0.000	31.305	10.26	4.144	7427	0.0	65535	0	0	65520	8.1	84.3	0
2025-01-18 14:17:30.00	0.000	30.933	10.35	4.142	7430	0.0	65535	0	0	65520	8.9	74.3	0
2025-01-18 14:17:40.00	0.000	30.710	10.43	4.141	7432	0.0	65535	0	0	65520	9.0	78.5	0
2025-01-18 14:17:50.00	0.000	30.689	10.52	4.143	7435	0.0	65535	0	0	65520	8.9	80.8	0
2025-01-18 14:18:00.00	0.000	30.689	10.59	4.140	7437	0.0	65535	0	0	65520	7.7	86.6	0
